"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE" ,100727 ,2010-07-27,096742 ,CME ,00 ,096 ,  143350,   77082,   48426,    6392,   16725,   13981,     572,   13173,   16077,   11297,     537,   16962,     150,  125929,  113858,   17421,   29493,    1354,   -1142,    8799,   -1230,    1455,    -891,       1,      57,  -11433,    1962,     -51,    -534,    -259,     794,   -3584,     561,    4938,  100.0,   53.8,   33.8,    4.5,   11.7,    9.8,    0.4,    9.2,   11.2,    7.9,    0.4,   11.8,    0.1,   87.8,   79.4,   12.2,   20.6,     85,     10,     12,      9,      5,     12,      .,     18,     21,     21,      .,      6,      .,     49,     70,    46.0,    34.4,    59.4,    44.5,    45.6,    34.1,    57.8,    43.9,"(CONTRACTS OF GBP 62,500)" ,"096742" ,"CME" ,"096" ,"F10" ,"Combined"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE" ,100720 ,2010-07-20,096742 ,CME ,00 ,096 ,  141996,   78225,   39627,    7622,   15270,   14872,     571,   13115,   27510,    9336,     589,   17496,     408,  125136,  117442,   16861,   24555,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,  100.0,   55.1,   27.9,    5.4,   10.8,   10.5,    0.4,    9.2,   19.4,    6.6,    0.4,   12.3,    0.3,   88.1,   82.7,   11.9,   17.3,     94,      9,     14,      9,      5,     13,      .,     18,     27,     22,      .,      7,      .,     51,     78,    48.5,    31.1,    62.1,    41.9,    47.6,    30.9,    60.0,    41.7,"(CONTRACTS OF GBP 62,500)" ,"096742" ,"CME" ,"096" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101228 ,2010-12-28,097741 ,CME ,00 ,097 ,  122708,    6897,   48907,    5082,   31827,    5612,    1463,   43066,   15286,    6354,    1386,    6806,      21,   96096,   89532,   26612,   33176,   19696,    -174,   18731,    -222,    -569,    -434,     -15,   16368,   -2719,      50,   -1514,    2579,     -19,   13905,   17951,    5792,    1746,  100.0,    5.6,   39.9,    4.1,   25.9,    4.6,    1.2,   35.1,   12.5,    5.2,    1.1,    5.5,    0.0,   78.3,   73.0,   21.7,   27.0,    104,      6,     15,      9,     10,      7,      5,     24,     28,     21,      .,     12,      .,     68,     72,    27.4,    29.9,    41.8,    40.2,    27.4,    29.2,    41.5,    38.7,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101221 ,2010-12-21,097741 ,CME ,00 ,097 ,  103011,    7071,   30176,    5304,   32396,    6047,    1478,   26698,   18006,    6304,    2900,    4227,      40,   82191,   71581,   20820,   31430,   -4925,    -178,   -7268,    1279,   -3669,     365,     104,   -3618,    1712,     903,    1580,   -1023,      -5,   -3604,   -3934,   -1321,    -991,  100.0,    6.9,   29.3,    5.1,   31.4,    5.9,    1.4,   25.9,   17.5,    6.1,    2.8,    4.1,    0.0,   79.8,   69.5,   20.2,   30.5,     98,      7,     14,     10,     10,      8,      5,     22,     27,     19,      .,      8,      .,     65,     68,    27.0,    25.6,    39.2,    33.6,    26.6,    24.7,    38.8,    32.5,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101214 ,2010-12-14,097741 ,CME ,00 ,097 ,  107936,    7249,   37444,    4026,   36065,    5682,    1374,   30316,   16294,    5401,    1320,    5250,      45,   85795,   75516,   22141,   32421,  -34051,  -10031,  -23532,   -6310,    1740,    -597,     -15,    6102,   -2188,    -283,  -17438,    1340,       0,  -26236,  -31585,   -7815,   -2466,  100.0,    6.7,   34.7,    3.7,   33.4,    5.3,    1.3,   28.1,   15.1,    5.0,    1.2,    4.9,    0.0,   79.5,   70.0,   20.5,   30.0,     98,      7,     15,      9,     10,      7,      5,     24,     24,     15,      .,      9,      .,     62,     66,    30.9,    28.7,    44.5,    37.1,    30.9,    28.4,    44.2,    36.8,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101207 ,2010-12-07,097741 ,CME ,00 ,097 ,  141987,   17281,   60976,   10336,   34325,    6279,    1389,   24214,   18482,    5684,   18758,    3911,      44,  112031,  107100,   29956,   34887,   -6934,     372,   -4119,     119,    -326,     407,     302,   -7675,   -2281,   -2054,     -93,    -222,      44,   -9311,   -7804,    2377,     870,  100.0,   12.2,   42.9,    7.3,   24.2,    4.4,    1.0,   17.1,   13.0,    4.0,   13.2,    2.8,    0.0,   78.9,   75.4,   21.1,   24.6,    101,     11,     17,     11,     11,      8,      5,     24,     21,     17,      .,      7,      .,     66,     69,    33.5,    37.8,    44.3,    45.2,    33.0,    33.8,    43.7,    41.2,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101130 ,2010-11-30,097741 ,CME ,00 ,097 ,  148921,   16909,   65095,   10216,   34651,    5871,    1087,   31889,   20763,    7738,   18851,    4133,       0,  121342,  114904,   27579,   34017,    3788,    -963,     893,     321,    1473,      43,    -149,    2434,    1308,     247,    2005,     578,      -5,    5365,    3237,   -1577,     551,  100.0,   11.4,   43.7,    6.9,   23.3,    3.9,    0.7,   21.4,   13.9,    5.2,   12.7,    2.8,    0.0,   81.5,   77.2,   18.5,   22.8,    114,     11,     17,     14,     11,      8,      4,     27,     30,     21,      .,      7,      .,     75,     79,    32.2,    37.0,    42.0,    44.0,    31.4,    34.2,    41.0,    41.1,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101123 ,2010-11-23,097741 ,CME ,00 ,097 ,  145133,   17872,   64201,    9895,   33178,    5829,    1236,   29454,   19455,    7491,   16846,    3555,       5,  115977,  111668,   29156,   33466,   -1900,     649,    -536,      81,    -370,    -752,      42,   -4246,     846,    1575,    3505,     198,      -5,    1231,    1449,   -3131,   -3349,  100.0,   12.3,   44.2,    6.8,   22.9,    4.0,    0.9,   20.3,   13.4,    5.2,   11.6,    2.4,    0.0,   79.9,   76.9,   20.1,   23.1,    110,     11,     16,      9,     11,      8,      4,     26,     29,     19,      .,      6,      .,     68,     75,    30.6,    38.5,    40.8,    45.7,    29.9,    35.1,    39.8,    42.3,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101116 ,2010-11-16,097741 ,CME ,00 ,097 ,  147033,   17222,   64738,    9814,   33548,    6581,    1194,   33700,   18609,    5916,   13341,    3357,      10,  114746,  110218,   32287,   36815,   -4941,    2071,  -12986,    2606,   -2195,    1681,     108,   -3500,    7072,     718,    -870,   -1096,       2,   -1059,   -1895,   -3882,   -3046,  100.0,   11.7,   44.0,    6.7,   22.8,    4.5,    0.8,   22.9,   12.7,    4.0,    9.1,    2.3,    0.0,   78.0,   75.0,   22.0,   25.0,    109,     11,     17,      9,     11,      9,      4,     27,     26,     16,      .,      5,      .,     65,     74,    29.0,    37.5,    40.4,    44.5,    28.2,    34.1,    39.3,    41.1,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101109 ,2010-11-09,097741 ,CME ,00 ,097 ,  151974,   15151,   77724,    7208,   35743,    4899,    1086,   37200,   11537,    5198,   14211,    4453,       8,  115805,  112113,   36169,   39861,   -6585,    1299,   -9021,   -1537,   -1883,    -491,     -64,  -12806,    -662,   -4122,    8654,     122,      -2,  -10463,  -15778,    3878,    9193,  100.0,   10.0,   51.1,    4.7,   23.5,    3.2,    0.7,   24.5,    7.6,    3.4,    9.4,    2.9,    0.0,   76.2,   73.8,   23.8,   26.2,    110,      9,     17,      9,     12,      8,      4,     29,     24,     17,      5,      6,      .,     73,     68,    28.3,    43.1,    38.3,    49.9,    27.9,    40.4,    37.8,    47.1,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101102 ,2010-11-02,097741 ,CME ,00 ,097 ,  158558,   13852,   86745,    8745,   37626,    5390,    1150,   50006,   12199,    9321,    5557,    4331,      10,  126268,  127891,   32290,   30667,    2031,    2165,    5762,     114,   -2967,    -105,    -135,     840,   -1054,     965,     272,    -877,      -7,    1246,    4661,     784,   -2631,  100.0,    8.7,   54.7,    5.5,   23.7,    3.4,    0.7,   31.5,    7.7,    5.9,    3.5,    2.7,    0.0,   79.6,   80.7,   20.4,   19.3,    124,     10,     16,      9,     13,      9,      4,     31,     33,     23,      4,      8,      .,     81,     81,    26.0,    46.4,    35.6,    53.5,    26.0,    43.8,    35.3,    50.8,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101026 ,2010-10-26,097741 ,CME ,00 ,097 ,  156528,   11687,   80983,    8631,   40593,    5496,    1285,   49166,   13253,    8356,    5285,    5208,      18,  125021,  123230,   31506,   33298,    1026,    -279,     326,     237,     525,      11,      13,   -2937,    1068,     834,    2290,    -598,       2,     685,    1893,     341,    -868,  100.0,    7.5,   51.7,    5.5,   25.9,    3.5,    0.8,   31.4,    8.5,    5.3,    3.4,    3.3,    0.0,   79.9,   78.7,   20.1,   21.3,    122,     11,     15,      9,     13,      9,      4,     29,     33,     23,      4,      8,      .,     80,     80,    28.0,    44.0,    37.7,    50.4,    28.0,    41.9,    37.4,    48.3,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101019 ,2010-10-19,097741 ,CME ,00 ,097 ,  155502,   11966,   80657,    8394,   40068,    5484,    1272,   52104,   12185,    7522,    2995,    5806,      16,  124337,  121337,   31166,   34166,   -6335,     714,   -4533,    -804,    -749,    -491,     -14,   -5067,    -621,     643,    1188,   -1217,      -8,   -4096,   -7045,   -2239,     710,  100.0,    7.7,   51.9,    5.4,   25.8,    3.5,    0.8,   33.5,    7.8,    4.8,    1.9,    3.7,    0.0,   80.0,   78.0,   20.0,   22.0,    122,     10,     15,      9,     11,      9,      4,     31,     33,     22,      5,      8,      .,     80,     79,    30.4,    45.0,    40.4,    51.3,    30.4,    42.6,    40.1,    49.0,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101012 ,2010-10-12,097741 ,CME ,00 ,097 ,  161837,   11252,   85190,    9198,   40817,    5975,    1286,   57170,   12806,    6878,    1807,    7024,      24,  128433,  128382,   33404,   33455,    1300,    2677,    4199,    1150,   -1039,     -56,     -14,   -1206,   -3346,   -1234,     166,    -732,     -19,     480,     -52,     820,    1352,  100.0,    7.0,   52.6,    5.7,   25.2,    3.7,    0.8,   35.3,    7.9,    4.3,    1.1,    4.3,    0.0,   79.4,   79.3,   20.6,   20.7,    119,     10,     16,      9,     11,      9,      4,     37,     23,     21,      .,     10,      .,     80,     75,    30.2,    45.0,    39.2,    52.1,    29.9,    42.8,    38.9,    49.2,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,101005 ,2010-10-05,097741 ,CME ,00 ,097 ,  160538,    8575,   80991,    8049,   41856,    6031,    1300,   58377,   16152,    8113,    1641,    7755,      43,  127953,  128435,   32585,   32103,   26950,   -2568,   13324,    2892,    1426,    -149,     280,   21594,    2398,    1228,    -941,    2548,     -15,   23897,   22506,    3053,    4444,  100.0,    5.3,   50.4,    5.0,   26.1,    3.8,    0.8,   36.4,   10.1,    5.1,    1.0,    4.8,    0.0,   79.7,   80.0,   20.3,   20.0,    119,      9,     14,     10,     13,      9,      4,     32,     28,     27,      .,     11,      .,     81,     81,    34.2,    43.9,    44.0,    52.2,    34.2,    42.6,    43.8,    49.5,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100928 ,2010-09-28,097741 ,CME ,00 ,097 ,  133588,   11143,   67667,    5156,   40430,    6180,    1020,   36783,   13755,    6885,    2582,    5207,      58,  104056,  105929,   29531,   27659,    5780,     318,    2670,    -135,      46,      78,     -77,    3759,    -635,     126,     830,    2066,     -33,    4835,    4060,     946,    1720,  100.0,    8.3,   50.7,    3.9,   30.3,    4.6,    0.8,   27.5,   10.3,    5.2,    1.9,    3.9,    0.0,   77.9,   79.3,   22.1,   20.7,    113,     12,     13,     10,     10,     10,      4,     28,     26,     25,      4,     10,      .,     76,     78,    33.9,    43.9,    43.5,    51.4,    33.7,    42.7,    43.2,    50.1,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100921 ,2010-09-21,097741 ,CME ,00 ,097 ,  127808,   10825,   64998,    5292,   40384,    6102,    1097,   33024,   14390,    6758,    1752,    3142,      91,   99222,  101868,   28586,   25939,  -19483,    2156,  -17036,     331,   -1283,   -2260,     -54,  -18905,    4933,     665,       7,   -1311,      34,  -17049,  -14697,   -2433,   -4785,  100.0,    8.5,   50.9,    4.1,   31.6,    4.8,    0.9,   25.8,   11.3,    5.3,    1.4,    2.5,    0.1,   77.6,   79.7,   22.4,   20.3,    103,     11,     12,      9,     11,      9,      5,     26,     24,     22,      .,      7,      .,     73,     68,    35.6,    43.7,    43.8,    52.5,    35.3,    42.8,    43.3,    51.5,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100914 ,2010-09-14,097741 ,CME ,00 ,097 ,  147290,    8668,   82033,    4960,   41667,    8361,    1151,   51929,    9457,    6093,    1745,    4453,      57,  116271,  116566,   31019,   30724,  -14024,   -4451,   -3646,   -5105,    2588,     779,     -53,   -3210,    -417,   -3718,   -1686,    1098,     -18,  -15653,  -11079,    1630,   -2944,  100.0,    5.9,   55.7,    3.4,   28.3,    5.7,    0.8,   35.3,    6.4,    4.1,    1.2,    3.0,    0.0,   78.9,   79.1,   21.1,   20.9,    108,      9,     16,      8,     12,     11,      6,     30,     20,     20,      .,      7,      .,     74,     70,    34.4,    41.5,    44.2,    53.7,    34.1,    40.8,    43.9,    51.3,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100907 ,2010-09-07,097741 ,CME ,00 ,097 ,  161314,   13120,   85679,   10065,   39079,    7582,    1204,   55139,    9874,    9811,    3431,    3355,      75,  131924,  127645,   29390,   33669,    1973,    -265,    5025,    1292,   -1295,   -1944,    -167,    3298,    2109,   -1075,    1535,    -279,      -8,    3314,    4952,   -1341,   -2979,  100.0,    8.1,   53.1,    6.2,   24.2,    4.7,    0.7,   34.2,    6.1,    6.1,    2.1,    2.1,    0.0,   81.8,   79.1,   18.2,   20.9,    108,     13,     16,     12,     12,      9,      5,     28,     19,     20,      5,      6,      .,     78,     68,    30.1,    43.1,    43.1,    56.3,    28.6,    41.2,    39.4,    50.0,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100831 ,2010-08-31,097741 ,CME ,00 ,097 ,  159341,   13385,   80655,    8774,   40374,    9526,    1372,   51841,    7765,   10886,    1896,    3634,      83,  128610,  122693,   30731,   36648,      33,    1446,   -3247,    1864,    2447,     871,     -98,   -2362,     757,     239,     -61,     327,      -9,    3466,     704,   -3433,    -671,  100.0,    8.4,   50.6,    5.5,   25.3,    6.0,    0.9,   32.5,    4.9,    6.8,    1.2,    2.3,    0.1,   80.7,   77.0,   19.3,   23.0,    109,     10,     15,     11,     13,     11,      4,     29,     21,     20,      .,      7,      .,     73,     73,    28.5,    41.4,    40.5,    51.4,    27.9,    38.9,    39.6,    47.9,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100824 ,2010-08-24,097741 ,CME ,00 ,097 ,  159308,   11939,   83901,    6910,   37927,    8654,    1470,   54203,    7008,   10647,    1958,    3308,      91,  125144,  121990,   34164,   37319,    7054,    2232,   -1014,     270,    1341,      39,     -65,   -3955,     948,    3707,     219,     246,     -23,    3726,    4108,    3328,    2946,  100.0,    7.5,   52.7,    4.3,   23.8,    5.4,    0.9,   34.0,    4.4,    6.7,    1.2,    2.1,    0.1,   78.6,   76.6,   21.4,   23.4,    105,      8,     16,      9,     12,     10,      5,     31,     19,     19,      .,      6,      .,     69,     70,    28.6,    41.3,    38.9,    51.2,    28.0,    39.6,    37.9,    48.7,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100817 ,2010-08-17,097741 ,CME ,00 ,097 ,  152254,    9707,   84916,    6640,   36585,    8616,    1535,   58159,    6060,    6940,    1739,    3062,     114,  121418,  117882,   30836,   34373,    1023,     298,    -134,     392,    2185,    -399,      65,   -2697,   -1773,     311,     180,     515,     111,     845,    -911,     178,    1934,  100.0,    6.4,   55.8,    4.4,   24.0,    5.7,    1.0,   38.2,    4.0,    4.6,    1.1,    2.0,    0.1,   79.7,   77.4,   20.3,   22.6,    108,      8,     16,      8,     12,     11,      4,     33,     19,     19,      .,      7,      .,     71,     69,    30.2,    45.0,    40.5,    54.3,    30.0,    43.0,    39.8,    52.0,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100810 ,2010-08-10,097741 ,CME ,00 ,097 ,  151231,    9409,   85050,    6247,   34401,    9015,    1470,   60855,    7833,    6629,    1559,    2546,       3,  120573,  118793,   30658,   32438,   -1276,    1030,    3153,   -2085,      70,    -213,     -51,    4718,    1049,   -4170,      60,     609,       3,    -423,   -1705,    -853,     428,  100.0,    6.2,   56.2,    4.1,   22.7,    6.0,    1.0,   40.2,    5.2,    4.4,    1.0,    1.7,    0.0,   79.7,   78.6,   20.3,   21.4,    111,      8,     16,      8,     12,     10,      5,     37,     21,     19,      .,      5,      .,     74,     70,    28.7,    44.8,    39.7,    54.6,    28.7,    42.8,    39.1,    52.6,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100803 ,2010-08-03,097741 ,CME ,00 ,097 ,  152508,    8379,   81897,    8332,   34330,    9228,    1520,   56137,    6784,   10798,    1499,    1938,       0,  120997,  120498,   31511,   32010,   12378,     427,   12148,     643,   -1263,    -294,     216,    8120,   -3697,    2711,    -359,   -1068,     -71,   10424,   10588,    1953,    1790,  100.0,    5.5,   53.7,    5.5,   22.5,    6.1,    1.0,   36.8,    4.4,    7.1,    1.0,    1.3,    0.0,   79.3,   79.0,   20.7,   21.0,    111,      9,     16,      7,     12,     10,      4,     39,     19,     21,      .,      4,      0,     73,     70,    27.5,    42.0,    37.3,    52.4,    27.5,    40.4,    36.8,    50.1,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100727 ,2010-07-27,097741 ,CME ,00 ,097 ,  140130,    7952,   69749,    7689,   35593,    9522,    1304,   48017,   10481,    8088,    1858,    3006,      71,  110572,  109910,   29558,   30219,   -2498,    1066,  -10897,     375,    -691,    -565,     -58,   -2325,    5131,     301,     452,   -1203,      61,    -820,   -6855,   -1678,    4358,  100.0,    5.7,   49.8,    5.5,   25.4,    6.8,    0.9,   34.3,    7.5,    5.8,    1.3,    2.1,    0.1,   78.9,   78.4,   21.1,   21.6,    109,      8,     17,      6,     11,     11,      .,     33,     20,     19,      .,      7,      .,     67,     71,    27.8,    40.1,    37.4,    51.8,    27.5,    38.1,    37.1,    49.3,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE" ,100720 ,2010-07-20,097741 ,CME ,00 ,097 ,  142627,    6887,   80647,    7314,   36284,   10087,    1362,   50342,    5350,    7786,    1406,    4210,      10,  111392,  116766,   31236,   25862,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,  100.0,    4.8,   56.5,    5.1,   25.4,    7.1,    1.0,   35.3,    3.8,    5.5,    1.0,    3.0,    0.0,   78.1,   81.9,   21.9,   18.1,    111,      6,     20,      6,     11,     11,      4,     37,     16,     18,      .,      8,      .,     68,     72,    29.6,    42.7,    39.7,    54.2,    29.6,    41.2,    39.3,    50.7,"(CONTRACTS OF JPY 12,500,000)" ,"097741" ,"CME" ,"097" ,"F10" ,"Combined"
"EURO FX - CHICAGO MERCANTILE EXCHANGE" ,101228 ,2010-12-28,099741 ,CME ,00 ,099 ,  215097,   56958,   17462,   15445,   22300,   22578,    3095,   15628,   59973,   25563,   14713,    8132,    8310,  162012,  160559,   53085,   54539,    5506,   13761,    -924,   -1067,    -188,    -746,      75,   -7054,    9111,     -38,     883,   -1444,    -368,    6005,    4600,    -499,     906,  100.0,   26.5,    8.1,    7.2,   10.4,   10.5,    1.4,    7.3,   27.9,   11.9,    6.8,    3.8,    3.9,   75.3,   74.6,   24.7,   25.4,    174,     21,     10,     16,     15,     19,     12,     31,     50,     38,     15,     13,     17,    121,    136,    19.8,    13.5,    29.1,    21.7,    19.3,    13.5,    27.5,    20.3,"(CONTRACTS OF EUR 125,000)" ,"099741" ,"CME" ,"099" ,"F10" ,"Combined"
"EURO FX - CHICAGO MERCANTILE EXCHANGE" ,101221 ,2010-12-21,099741 ,CME ,00 ,099 ,  209591,   43197,   18386,   16511,   22488,   23325,    3020,   22682,   50862,   25601,   13830,    9577,    8678,  156007,  155958,   53584,   53633,   22193,    2062,    3171,    2861,   -1004,      34,     371,    6218,    5707,    6442,    -255,    2211,    3673,   20369,   24469,    1824,   -2276,  100.0,   20.6,    8.8,    7.9,   10.7,   11.1,    1.4,   10.8,   24.3,   12.2,    6.6,    4.6,    4.1,   74.4,   74.4,   25.6,   25.6,    169,     18,     15,     16,     15,     19,     12,     29,     46,     36,     15,     12,     15,    117,    131,    14.8,    13.2,    25.2,    21.7,    14.1,    13.2,    23.8,    19.9,"(CONTRACTS OF EUR 125,000)" ,"099741" ,"CME" ,"099" ,"F10" ,"Combined"
"EURO FX - CHICAGO MERCANTILE EXCHANGE" ,101214 ,2010-12-14,099741 ,CME ,00 ,099 ,  187398,   41135,   15216,   13650,   23492,   23291,    2648,   16464,   45155,   19158,   14085,    7366,    5006,  135638,  131489,   51760,   55909,  -49047,  -28697,  -21336,  -16976,     210,     333,     -25,   -1271,   -3845,   -3563,    1349,     883,    -784,  -49757,  -45313,     710,   -3734,  100.0,   22.0,    8.1,    7.3,   12.5,   12.4,    1.4,    8.8,   24.1,   10.2,    7.5,    3.9,    2.7,   72.4,   70.2,   27.6,   29.8,    161,     20,     11,     13,     15,     18,     12,     27,     44,     36,      9,     17,     11,    109,    124,    15.2,    13.0,    25.6,    20.6,    14.5,    13.0,    24.5,    19.5,"(CONTRACTS OF EUR 125,000)" ,"099741" ,"CME" ,"099" ,"F10" ,"Combined"
